"Failure";"id";"sensor";"maquinas"
"no";1;"Sensor_1";2.6331445266243643
"no";1;"Sensor_2";0.9177722407362737
"no";1;"Sensor_3";4.228582820048867
"no";1;"Sensor_4";13.792281527227729
"no";1;"Sensor_5";23.402873435513026
"no";1;"Sensor_6";13.764430337119217
"no";1;"Sensor_7";6.054069442972526
"no";1;"Sensor_8";1.6424761604331475
"no";1;"Sensor_9";0.721012347613618
"no";1;"Sensor_10";1.6590214707410058
"no";1;"Sensor_11";1.6657155017755456
"no";1;"Sensor_12";1.1075657319750583
"no";1;"Sensor_13";0.5567360945469491
"no";1;"Sensor_14";0.26229167705518186
"no";1;"Sensor_15";0.22839567281812168
"no";1;"Sensor_16";0.5579992667751588
"no";1;"Sensor_17";2.494481172510058
"no";1;"Sensor_18";0.989780400272389
"no";1;"Sensor_19";2.025647704136245
"no";1;"Sensor_20";1.8849417732536713
"no";1;"Sensor_21";3.0811450985971462
"no";1;"Sensor_22";1.144580271787162
"no";1;"Sensor_23";2.0488903333676154
"no";1;"Sensor_24";2.7951565684323696
"no";1;"Sensor_25";2.2663941069798343
"yes";2;"Sensor_1";9.24415353771671
"yes";2;"Sensor_2";22.732304417853715
"yes";2;"Sensor_3";15.306646382419215
"yes";2;"Sensor_4";8.553370860658783
"yes";2;"Sensor_5";5.707128191727446
"yes";2;"Sensor_6";2.99878493515637
"yes";2;"Sensor_7";1.4279121743969898
"yes";2;"Sensor_8";1.361257416257429
"yes";2;"Sensor_9";1.4291160433869903
"yes";2;"Sensor_10";0.8103531695512902
"yes";2;"Sensor_11";0.5349646651159892
"yes";2;"Sensor_12";0.5025611570680825
"yes";2;"Sensor_13";0.27898279894001976
"yes";2;"Sensor_14";0.3398672060136435
"yes";2;"Sensor_15";3.037344259831483
"yes";2;"Sensor_16";0.4162574501003698
"yes";2;"Sensor_17";0.279726267580408
"yes";2;"Sensor_18";0.5183956597856593
"yes";2;"Sensor_19";0.7837381762147967
"yes";2;"Sensor_20";0.8085246204739965
"yes";2;"Sensor_21";1.2284208129845775
"yes";2;"Sensor_22";0.7353453555969788
"yes";2;"Sensor_23";2.5991062280198873
"yes";2;"Sensor_24";2.7786461507008005
"yes";2;"Sensor_25";2.779984168028971
"no";3;"Sensor_1";3.1831174052773803
"no";3;"Sensor_2";28.525667064811813
"no";3;"Sensor_3";8.735420711981172
"no";3;"Sensor_4";4.898446784850008
"no";3;"Sensor_5";3.684912629305206
"no";3;"Sensor_6";2.9601713600598667
"no";3;"Sensor_7";2.398279854094127
"no";3;"Sensor_8";1.9383022820333793
"no";3;"Sensor_9";1.6270043295480203
"no";3;"Sensor_10";1.471391159120358
"no";3;"Sensor_11";1.384662455228848
"no";3;"Sensor_12";1.2941866073928743
"no";3;"Sensor_13";0.9781626953964359
"no";3;"Sensor_14";0.7894518037025021
"no";3;"Sensor_15";0.7724529068736203
"no";3;"Sensor_16";1.5378689521926643
"no";3;"Sensor_17";1.3989106256465562
"no";3;"Sensor_18";1.308508245321542
"no";3;"Sensor_19";1.2615979708238974
"no";3;"Sensor_20";1.2159729152075092
"no";3;"Sensor_21";1.0226065138808371
"no";3;"Sensor_22";0.893001529073492
"no";3;"Sensor_23";0.21323187127131996
"no";3;"Sensor_24";0.1386081810687838
"no";3;"Sensor_25";0.0986922771710181
"yes";4;"Sensor_1";2.7849985718451573
"yes";4;"Sensor_2";2.641998580721122
"yes";4;"Sensor_3";5.856832212152089
"yes";4;"Sensor_4";7.417146071753586
